state,university/college,campus,student_enrollment1,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition2,rape_legacy_definition3,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson4
ALABAMA,Jacksonville State University,Jacksonville State University main,8693.0,1.0,0.0,0.0,0.0,0.0,1.0,61.0,11.0,49.0,1.0,0.0
ALABAMA,Jefferson State Community College,Jefferson State Community College main,8542.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,29.0,1.0,0.0
ALABAMA,Samford University,Samford University main,4833.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,1.0,37.0,1.0,0.0
ALABAMA,Troy University,Troy University main,20573.0,6.0,0.0,0.0,0.0,0.0,6.0,120.0,23.0,91.0,6.0,0.0
ALABAMA,Tuskegee University,Tuskegee University main,3118.0,16.0,0.0,5.0,0.0,3.0,8.0,173.0,16.0,150.0,7.0,0.0
ALABAMA,University of Alabama: ,University of Alabama:  Birmingham,18568.0,23.0,0.0,3.0,0.0,4.0,16.0,532.0,7.0,517.0,8.0,0.0
ALABAMA,University of Alabama: ,University of Alabama:  Huntsville,7376.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,30.0,45.0,0.0,0.0
ALABAMA,University of Alabama: ,University of Alabama:  Tuscaloosa,34752.0,23.0,0.0,8.0,0.0,4.0,11.0,431.0,42.0,382.0,7.0,0.0
ALABAMA,University of South Alabama,University of South Alabama main,15065.0,7.0,0.0,3.0,0.0,1.0,3.0,159.0,18.0,137.0,4.0,0.0
ALASKA,University of Alaska: ,University of Alaska:  Anchorage,17363.0,4.0,0.0,1.0,0.0,3.0,0.0,85.0,4.0,75.0,6.0,0.0
ALASKA,University of Alaska: ,University of Alaska:  Fairbanks,9166.0,1.0,0.0,0.0,0.0,0.0,1.0,59.0,4.0,55.0,0.0,0.0
ARIZONA,Central Arizona College,Central Arizona College main,6445.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,19.0,0.0,0.0
ARIZONA,Pima Community College,Pima Community College main,30082.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,8.0,114.0,3.0,0.0
ARIZONA,University of Arizona,University of Arizona main,40621.0,26.0,0.0,13.0,0.0,1.0,12.0,687.0,41.0,639.0,7.0,1.0
ARIZONA,Yavapai College,Yavapai College main,8197.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0
ARKANSAS,Arkansas State University,Arkansas State University Jonesboro,13552.0,7.0,0.0,2.0,0.0,0.0,5.0,94.0,7.0,85.0,2.0,0.0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,11369.0,1.0,0.0,1.0,0.0,0.0,0.0,87.0,9.0,78.0,0.0,0.0
ARKANSAS,Henderson State University,Henderson State University main,3583.0,2.0,0.0,2.0,0.0,0.0,0.0,49.0,9.0,39.0,1.0,0.0
ARKANSAS,Southern Arkansas University Tech,Southern Arkansas University Tech main,1730.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Fayetteville,25341.0,3.0,0.0,1.0,0.0,1.0,1.0,230.0,32.0,168.0,30.0,1.0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Little Rock,12377.0,13.0,0.0,0.0,0.0,2.0,11.0,135.0,13.0,117.0,5.0,0.0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Medical Sciences,2867.0,2.0,0.0,0.0,0.0,0.0,2.0,125.0,2.0,123.0,0.0,0.0
ARKANSAS,University of Central Arkansas,University of Central Arkansas main,11534.0,6.0,0.0,1.0,0.0,1.0,4.0,101.0,10.0,90.0,1.0,0.0
CALIFORNIA,Allan Hancock College,Allan Hancock College main,10885.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,20.0,0.0,0.0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  Pomona,22501.0,5.0,0.0,0.0,3.0,1.0,1.0,172.0,11.0,147.0,14.0,0.0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  San Luis Obispo,19703.0,12.0,0.0,0.0,11.0,0.0,1.0,211.0,13.0,190.0,8.0,1.0
CALIFORNIA,California State University: ,California State University:  Bakersfield,8371.0,1.0,0.0,0.0,0.0,0.0,1.0,74.0,7.0,67.0,0.0,0.0
CALIFORNIA,California State University: ,California State University:  Channel Islands,5140.0,2.0,0.0,0.0,0.0,0.0,2.0,47.0,4.0,41.0,2.0,0.0
CALIFORNIA,California State University: ,California State University:  Chico,16356.0,8.0,0.0,0.0,4.0,0.0,4.0,260.0,11.0,247.0,2.0,0.0
CALIFORNIA,California State University: ,California State University:  Dominguez Hills5,14670.0,3.0,0.0,0.0,0.0,0.0,3.0,90.0,16.0,70.0,4.0,0.0
CALIFORNIA,California State University: ,California State University:  East Bay,14526.0,2.0,0.0,0.0,2.0,0.0,0.0,92.0,4.0,86.0,2.0,0.0
CALIFORNIA,California State University: ,California State University:  Fresno,23060.0,8.0,0.0,0.0,0.0,3.0,5.0,262.0,42.0,210.0,10.0,0.0
CALIFORNIA,California State University: ,California State University:  Fullerton,38325.0,8.0,0.0,0.0,5.0,1.0,2.0,169.0,12.0,145.0,12.0,0.0
CALIFORNIA,California State University: ,California State University:  Long Beach,35586.0,1.0,0.0,0.0,0.0,1.0,0.0,152.0,10.0,138.0,4.0,0.0
CALIFORNIA,California State University: ,California State University:  Los Angeles,23258.0,3.0,0.0,0.0,0.0,2.0,1.0,125.0,13.0,104.0,8.0,0.0
CALIFORNIA,California State University: ,California State University:  Monterey Bay,5732.0,7.0,0.0,0.0,5.0,1.0,1.0,67.0,8.0,57.0,2.0,0.0
CALIFORNIA,California State University: ,California State University:  Northridge,38310.0,6.0,0.0,0.0,1.0,2.0,3.0,326.0,10.0,310.0,6.0,0.0
CALIFORNIA,California State University: ,California State University:  Sacramento,28811.0,4.0,0.0,0.0,2.0,1.0,1.0,206.0,6.0,196.0,4.0,1.0
CALIFORNIA,California State University: ,California State University:  San Bernardino,18398.0,4.0,0.0,0.0,2.0,1.0,1.0,96.0,10.0,74.0,12.0,0.0
CALIFORNIA,California State University: ,California State University:  San Jose,31278.0,31.0,0.0,0.0,6.0,8.0,17.0,379.0,40.0,321.0,18.0,3.0
CALIFORNIA,California State University: ,California State University:  San Marcos,11300.0,8.0,0.0,0.0,7.0,0.0,1.0,68.0,6.0,62.0,0.0,0.0
CALIFORNIA,California State University: ,California State University:  Stanislaus,8917.0,1.0,0.0,0.0,1.0,0.0,0.0,57.0,4.0,52.0,1.0,0.0
CALIFORNIA,College of the Sequoias,College of the Sequoias main,10720.0,1.0,0.0,0.0,0.0,1.0,0.0,54.0,8.0,43.0,3.0,0.0
CALIFORNIA,Contra Costa Community College,Contra Costa Community College main,35676.0,5.0,0.0,0.0,0.0,5.0,0.0,186.0,21.0,147.0,18.0,0.0
CALIFORNIA,Cuesta College,Cuesta College main,9256.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,11.0,2.0,0.0
CALIFORNIA,El Camino College,El Camino College main,23996.0,3.0,0.0,0.0,0.0,3.0,0.0,109.0,9.0,92.0,8.0,0.0
CALIFORNIA,Foothill-De Anza College,Foothill-De Anza College main,38075.0,3.0,0.0,0.0,0.0,2.0,1.0,59.0,7.0,49.0,3.0,0.0
CALIFORNIA,Humboldt State University,Humboldt State University main,8293.0,3.0,0.0,0.0,2.0,1.0,0.0,115.0,7.0,106.0,2.0,3.0
CALIFORNIA,Marin Community College,Marin Community College main,6077.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0,1.0,33.0,1.0,0.0
CALIFORNIA,Pasadena Community College,Pasadena Community College main,25268.0,2.0,0.0,0.0,0.0,1.0,1.0,62.0,0.0,61.0,1.0,1.0
CALIFORNIA,Riverside Community College,Riverside Community College main,36233.0,3.0,0.0,0.0,0.0,1.0,2.0,120.0,7.0,108.0,5.0,1.0
CALIFORNIA,San Bernardino Community College,San Bernardino Community College main,18026.0,11.0,0.0,0.0,0.0,0.0,11.0,101.0,18.0,65.0,18.0,0.0
CALIFORNIA,San Diego State University,San Diego State University main,31899.0,41.0,0.0,0.0,20.0,12.0,9.0,600.0,61.0,520.0,19.0,0.0
CALIFORNIA,San Francisco State University,San Francisco State University main,29905.0,4.0,0.0,0.0,1.0,1.0,2.0,188.0,35.0,147.0,6.0,0.0
CALIFORNIA,San Jose/Evergreen Community College ,San Jose/Evergreen Community College  main,18657.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,39.0,5.0,0.0
CALIFORNIA,Santa Rosa Junior College,Santa Rosa Junior College main,22094.0,5.0,0.0,0.0,0.0,0.0,5.0,73.0,4.0,67.0,2.0,1.0
CALIFORNIA,Sonoma State University,Sonoma State University main,9120.0,6.0,0.0,0.0,2.0,1.0,3.0,129.0,2.0,127.0,0.0,0.0
CALIFORNIA,State Center Community College District,State Center Community College District main,35151.0,6.0,0.0,0.0,0.0,5.0,1.0,224.0,28.0,178.0,18.0,0.0
CALIFORNIA,University of California: ,University of California:  Berkeley,36198.0,41.0,0.0,0.0,6.0,28.0,7.0,1010.0,57.0,922.0,31.0,9.0
CALIFORNIA,University of California: ,University of California:  Davis,33307.0,17.0,0.0,0.0,10.0,2.0,5.0,527.0,22.0,500.0,5.0,1.0
CALIFORNIA,University of California: ,University of California:  Hastings College of Law,1088.0,13.0,0.0,0.0,0.0,2.0,11.0,34.0,1.0,33.0,0.0,0.0
CALIFORNIA,University of California: ,University of California:  Irvine,28895.0,26.0,0.0,0.0,5.0,0.0,21.0,356.0,38.0,301.0,17.0,2.0
CALIFORNIA,University of California: ,University of California:  Los Angeles,40795.0,114.0,0.0,0.0,21.0,16.0,77.0,922.0,212.0,690.0,20.0,1.0
CALIFORNIA,University of California: ,"University of California:  Medical Center, Sacramento6",0.0,5.0,0.0,0.0,0.0,2.0,3.0,175.0,18.0,151.0,6.0,1.0
CALIFORNIA,University of California: ,University of California:  Merced,6195.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,29.0,1.0,0.0
CALIFORNIA,University of California: ,University of California:  Riverside5,21207.0,6.0,0.0,2.0,0.0,2.0,2.0,286.0,19.0,258.0,9.0,2.0
CALIFORNIA,University of California: ,University of California:  San Diego,29517.0,4.0,0.0,0.0,2.0,1.0,1.0,542.0,34.0,493.0,15.0,1.0
CALIFORNIA,University of California: ,University of California:  San Francisco,3079.0,9.0,0.0,0.0,0.0,4.0,5.0,369.0,34.0,323.0,12.0,1.0
CALIFORNIA,University of California: ,University of California:  Santa Barbara,22225.0,17.0,0.0,0.0,9.0,4.0,4.0,249.0,15.0,233.0,1.0,0.0
CALIFORNIA,University of California: ,University of California:  Santa Cruz,17203.0,14.0,0.0,0.0,5.0,2.0,7.0,214.0,27.0,181.0,6.0,2.0
CALIFORNIA,Ventura County Community College District,Ventura County Community College District main,34053.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,71.0,0.0,0.0
CALIFORNIA,West Valley-Mission College,West Valley-Mission College main,18766.0,2.0,0.0,0.0,0.0,0.0,2.0,23.0,2.0,19.0,2.0,0.0
COLORADO,Adams State University,Adams State University main,3211.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,53.0,1.0,0.0
COLORADO,Aims Community College,Aims Community College main,4955.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
COLORADO,Arapahoe Community College,Arapahoe Community College main,11621.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
COLORADO,Auraria Higher Education Center6,Auraria Higher Education Center6 main,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,13.0,190.0,8.0,0.0
COLORADO,Colorado School of Mines,Colorado School of Mines main,5790.0,2.0,0.0,1.0,0.0,0.0,1.0,77.0,2.0,75.0,0.0,0.0
COLORADO,Colorado State University,Colorado State University Fort Collins,31186.0,9.0,0.0,7.0,0.0,0.0,2.0,239.0,17.0,215.0,7.0,5.0
COLORADO,Fort Lewis College,Fort Lewis College main,4021.0,2.0,0.0,1.0,0.0,0.0,1.0,53.0,5.0,47.0,1.0,0.0
COLORADO,Pikes Peak Community College,Pikes Peak Community College main,14634.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0
COLORADO,University of Colorado:,University of Colorado: Boulder,32017.0,18.0,0.0,9.0,0.0,3.0,6.0,408.0,26.0,369.0,13.0,5.0
COLORADO,University of Colorado:,University of Colorado: Colorado Springs,11321.0,1.0,0.0,0.0,0.0,0.0,1.0,61.0,5.0,55.0,1.0,1.0
COLORADO,University of Colorado:,University of Colorado: Denver,22206.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7.0,39.0,3.0,0.0
COLORADO,University of Colorado:,University of Colorado: Health Sciences Center6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0
COLORADO,University of Northern Colorado,University of Northern Colorado main,12710.0,3.0,0.0,2.0,0.0,0.0,1.0,109.0,2.0,107.0,0.0,1.0
CONNECTICUT,Central Connecticut State University,Central Connecticut State University main,11865.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,19.0,1.0,0.0
CONNECTICUT,Eastern Connecticut State University,Eastern Connecticut State University main,5368.0,1.0,0.0,0.0,0.0,1.0,0.0,51.0,0.0,50.0,1.0,0.0
CONNECTICUT,Southern Connecticut State University,Southern Connecticut State University main,10804.0,1.0,0.0,0.0,0.0,1.0,0.0,47.0,0.0,47.0,0.0,0.0
CONNECTICUT,University of Connecticut: ,University of Connecticut:  Health Center6,0.0,2.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,15.0,0.0,0.0
CONNECTICUT,University of Connecticut: ,"University of Connecticut:  Storrs, Avery Point, and Hartford6",0.0,16.0,0.0,6.0,0.0,2.0,8.0,243.0,33.0,197.0,13.0,3.0
CONNECTICUT,Western Connecticut State University,Western Connecticut State University main,6025.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,2.0,40.0,0.0,0.0
CONNECTICUT,Yale University,Yale University main,12109.0,3.0,0.0,0.0,0.0,3.0,0.0,300.0,34.0,265.0,1.0,0.0
DELAWARE,Delaware State University,Delaware State University main,4336.0,13.0,0.0,7.0,0.0,0.0,6.0,89.0,6.0,80.0,3.0,0.0
DELAWARE,University of Delaware,University of Delaware main,22166.0,13.0,0.0,6.0,0.0,2.0,5.0,216.0,26.0,188.0,2.0,0.0
FLORIDA,Edison State College,Edison State College main,15423.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0,3.0,11.0,1.0,0.0
FLORIDA,Florida A&M University,Florida A&M University main,10743.0,10.0,0.0,2.0,0.0,3.0,5.0,169.0,11.0,144.0,14.0,0.0
FLORIDA,Florida Atlantic University,Florida Atlantic University main,30759.0,5.0,0.0,3.0,0.0,0.0,2.0,173.0,20.0,138.0,15.0,1.0
FLORIDA,Florida Gulf Coast University,Florida Gulf Coast University main,14077.0,5.0,0.0,3.0,0.0,2.0,0.0,65.0,0.0,64.0,1.0,1.0
FLORIDA,Florida International University,Florida International University main,47663.0,9.0,0.0,1.0,0.0,3.0,5.0,390.0,25.0,356.0,9.0,0.0
FLORIDA,Florida State University:,Florida State University: Panama City6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0
FLORIDA,Florida State University:,Florida State University: Tallahassee,40909.0,15.0,0.0,7.0,0.0,3.0,5.0,359.0,46.0,290.0,23.0,0.0
FLORIDA,New College of Florida,New College of Florida main,793.0,2.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,1.0
FLORIDA,Pensacola State College,Pensacola State College main,11235.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,39.0,2.0,0.0
FLORIDA,Santa Fe College,Santa Fe College main,15113.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,26.0,0.0,0.0
FLORIDA,Tallahassee Community College,Tallahassee Community College main,13509.0,4.0,0.0,0.0,0.0,1.0,3.0,59.0,0.0,58.0,1.0,0.0
FLORIDA,University of Central Florida,University of Central Florida main,59589.0,29.0,0.0,14.0,0.0,5.0,10.0,385.0,29.0,345.0,11.0,0.0
FLORIDA,University of Florida,University of Florida main,49878.0,15.0,0.0,4.0,0.0,1.0,10.0,594.0,28.0,554.0,12.0,0.0
FLORIDA,University of North Florida,University of North Florida main,16083.0,4.0,0.0,2.0,0.0,1.0,1.0,112.0,11.0,101.0,0.0,0.0
FLORIDA,University of South Florida: ,University of South Florida:  St. Petersburg,4660.0,3.0,0.0,3.0,0.0,0.0,0.0,39.0,4.0,34.0,1.0,1.0
FLORIDA,University of South Florida: ,University of South Florida:  Tampa,41428.0,12.0,0.0,4.0,0.0,3.0,5.0,377.0,37.0,331.0,9.0,0.0
FLORIDA,University of West Florida,University of West Florida main,12588.0,6.0,0.0,5.0,0.0,0.0,1.0,76.0,8.0,67.0,1.0,0.0
GEORGIA7,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College main,3394.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,5.0,40.0,1.0,0.0
GEORGIA7,Agnes Scott College,Agnes Scott College main,915.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,1.0,0.0
GEORGIA7,Albany State University,Albany State University main,4260.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,4.0,33.0,2.0,0.0
GEORGIA7,Andrew College,Andrew College main,316.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0
GEORGIA7,Armstrong Atlantic State University,Armstrong Atlantic State University main,7101.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,28.0,0.0,0.0
GEORGIA7,Augusta Technical College,Augusta Technical College main,4379.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
GEORGIA7,Bainbridge State College,Bainbridge State College main,2695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEORGIA7,Berry College,Berry College main,2223.0,1.0,0.0,0.0,1.0,0.0,0.0,46.0,3.0,43.0,0.0,0.0
GEORGIA7,Chattahoochee Technical College,Chattahoochee Technical College main,10470.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0
GEORGIA7,College of Coastal Georgia,College of Coastal Georgia main,2987.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,25.0,0.0,0.0
GEORGIA7,Columbus State University,Columbus State University main,8156.0,1.0,0.0,0.0,0.0,0.0,1.0,68.0,7.0,59.0,2.0,1.0
GEORGIA7,Dalton State College,Dalton State College main,5015.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0
GEORGIA7,Darton State College,Darton State College main,6195.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,5.0,50.0,0.0,0.0
GEORGIA7,Emory University,Emory University main,14513.0,18.0,0.0,0.0,15.0,0.0,3.0,465.0,22.0,424.0,19.0,0.0
GEORGIA7,Fort Valley State University,Fort Valley State University main,3180.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0
GEORGIA7,Georgia College and State University,Georgia College and State University main,6551.0,6.0,0.0,0.0,6.0,0.0,0.0,50.0,5.0,44.0,1.0,0.0
GEORGIA7,Georgia Gwinnett College,Georgia Gwinnett College main,9719.0,6.0,0.0,0.0,0.0,0.0,6.0,184.0,2.0,179.0,3.0,0.0
GEORGIA7,Georgia Institute of Technology,Georgia Institute of Technology main,21471.0,20.0,0.0,0.0,5.0,10.0,5.0,381.0,52.0,308.0,21.0,0.0
GEORGIA7,Georgia Military College,Georgia Military College main,1651.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
GEORGIA7,Georgia Perimeter College,Georgia Perimeter College main,21123.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,86.0,3.0,0.0
GEORGIA7,Georgia Regents University,Georgia Regents University main,8468.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2.0,92.0,2.0,0.0
GEORGIA7,Georgia Southern University,Georgia Southern University main,20517.0,7.0,0.0,0.0,5.0,2.0,0.0,169.0,8.0,161.0,0.0,0.0
GEORGIA7,Georgia State University,Georgia State University main,32165.0,12.0,0.0,0.0,3.0,5.0,4.0,250.0,3.0,238.0,9.0,0.0
GEORGIA7,Gordon State College,Gordon State College main,4187.0,3.0,0.0,0.0,3.0,0.0,0.0,39.0,7.0,32.0,0.0,0.0
GEORGIA7,Gwinnett Technical College,Gwinnett Technical College main,7180.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0
GEORGIA7,Kennesaw State University,Kennesaw State University main,24629.0,12.0,0.0,0.0,10.0,1.0,1.0,119.0,8.0,111.0,0.0,0.0
GEORGIA7,Mercer University,Mercer University main,8351.0,3.0,0.0,0.0,0.0,3.0,0.0,59.0,3.0,54.0,2.0,0.0
GEORGIA7,Morehouse College,Morehouse College main,2170.0,6.0,0.0,0.0,0.0,4.0,2.0,105.0,8.0,97.0,0.0,0.0
GEORGIA7,Paine College,Paine College main,924.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,10.0,0.0,1.0,0.0
GEORGIA7,Piedmont College,Piedmont College main,2368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEORGIA7,Savannah State University,Savannah State University main,4772.0,4.0,0.0,0.0,0.0,4.0,0.0,144.0,17.0,126.0,1.0,0.0
GEORGIA7,Southern Crescent Technical College,Southern Crescent Technical College main,5177.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
GEORGIA7,Southern Polytechnic State University,Southern Polytechnic State University main,6549.0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,3.0,54.0,1.0,0.0
GEORGIA7,South Georgia State College,South Georgia State College main,2579.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0
