state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8
ALABAMA,Alabama A&M University,Alabama A&M University main,5333,12,0,3,7,78,1,75,2,0,0,0,0,0
ALABAMA,Jacksonville State University,Jacksonville State University main,8659,7,0,0,7,59,9,50,0,0,0,0,0,0
ALABAMA,Samford University,Samford University main,4933,3,0,0,3,46,8,34,4,0,0,0,0,0
ALABAMA,Tuskegee University,Tuskegee University main,3103,5,0,1,4,112,12,97,3,0,0,0,0,0
ALABAMA,University of Alabama: ,University of Alabama:  Birmingham,18698,24,0,3,19,395,5,379,11,0,0,0,0,0
ALABAMA,University of Alabama: ,University of Alabama:  Huntsville,7348,10,0,1,8,73,18,55,0,0,0,0,0,0
ALABAMA,University of Alabama: ,University of Alabama:  Tuscaloosa,36047,15,0,9,3,359,36,316,7,0,0,0,0,0
ALABAMA,University of South Alabama,University of South Alabama main,15805,21,0,3,17,165,28,136,1,0,0,0,0,0
ALASKA,University of Alaska: ,University of Alaska:  Anchorage,17151,4,0,0,3,95,4,88,3,0,0,0,0,0
ALASKA,University of Alaska: ,University of Alaska:  Fairbanks,8620,3,0,0,1,50,3,44,3,0,0,0,0,0
ARIZONA,Arizona State University,Arizona State University Main Campus,83260,35,0,6,20,1045,78,946,21,3,0,0,0,0
ARIZONA,Central Arizona College,Central Arizona College main,5937,1,0,0,0,20,8,12,0,0,0,0,0,0
ARIZONA,Northern Arizona University,Northern Arizona University main,27705,28,1,0,7,274,21,252,1,0,0,0,0, 
ARIZONA,Pima Community College,Pima Community College main,28070,1,0,1,0,87,5,79,3,0,0,0,0,0
ARIZONA,University of Arizona,University of Arizona main,42236,25,0,2,6,598,32,551,15,1,0,0,0,0
ARIZONA,Yavapai College,Yavapai College main,7842,0,0,0,0,4,0,4,0,0,0,0,0,0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Beebe,4140,0,0,0,0,7,0,7,0,0,0,0,0,0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Jonesboro,13144,11,0,2,5,76,8,68,0,0,0,0,0,0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,12002,6,0,0,1,83,7,74,2,0,0,0,0,0
ARKANSAS,Henderson State University,Henderson State University main,3627,1,0,0,0,47,7,39,1,0,0,0,0,0
ARKANSAS,Southern Arkansas University,Southern Arkansas University main,3546,0,0,0,0,13,4,9,0,0,0,0,0,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Fayetteville,26237,9,1,0,1,176,10,123,43,0,0,0,0,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Little Rock,11645,8,0,3,4,85,1,84,0,0,0,0,0,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Medical Sciences,2890,2,0,1,1,103,2,96,5,0,0,0,0,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Monticello,3854,0,0,0,0,21,1,20,0,0,0,0,0,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Pine Bluff,2513,0,0,0,0,77,9,67,1,0,0,0,0,0
CALIFORNIA,Allan Hancock College,Allan Hancock College main,11047,0,0,0,0,21,2,18,1,0,0,0,0,0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  Pomona,23966,6,0,1,1,173,5,150,18,1,0,0,0,0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  San Luis Obispo,20186,3,0,0,1,163,7,149,7,1,0,0,0,0
CALIFORNIA,California State University: ,California State University:  Bakersfield,8720,1,0,0,1,78,12,65,1,0,0,0,0,0
CALIFORNIA,California State University: ,California State University:  Channel Islands,5879,2,0,1,1,62,7,54,1,0,0,0,0,0
CALIFORNIA,California State University: ,California State University:  Chico,17287,7,0,1,3,254,13,235,6,2,0,0,0,0
CALIFORNIA,California State University: ,California State University:  Dominguez Hills,14687,4,0,0,4,72,5,65,2,0,0,0,0,0
CALIFORNIA,California State University: ,California State University:  East Bay,14823,2,0,0,0,97,11,80,6,0,0,0,0,0
CALIFORNIA,California State University: ,California State University:  Fresno,23179,13,0,3,7,267,43,209,15,1,0,0,0,0
CALIFORNIA,California State University: ,California State University:  Fullerton,38128,8,0,1,4,248,22,218,8,0,0,0,0,0
CALIFORNIA,California State University: ,California State University:  Long Beach,36809,6,0,1,1,148,12,129,7,0,0,0,0,0
