state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition,rape_legacy_definition,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
ALABAMA,Jacksonville State University,Jacksonville State University main,8314,5,0,0,0,1,4,72,12,60,0,0
ALABAMA,Samford University,Samford University main,5206,0,0,0,0,0,0,57,7,50,0,0
ALABAMA,Troy University,Troy University main,17765,4,0,2,0,1,1,116,11,102,3,0
ALABAMA,Tuskegee University,Tuskegee University main,2996,4,0,0,0,0,4,84,0,81,3,0
ALABAMA,University of Alabama: ,University of Alabama:  Birmingham,18333,32,0,5,0,4,23,353,4,340,9,0
ALABAMA,University of Alabama: ,University of Alabama:  Tuscaloosa,37098,20,0,4,0,1,15,306,33,269,4,0
ALABAMA,University of South Alabama,University of South Alabama main,16211,22,0,3,0,1,18,119,13,104,2,0
ALASKA,University of Alaska: ,University of Alaska:  Anchorage,16762,4,0,0,0,0,4,139,7,120,12,1
ALASKA,University of Alaska: ,University of Alaska:  Fairbanks,8638,4,0,2,0,0,2,66,1,62,3,0
ARIZONA,Arizona State University,Arizona State University Main Campus,90906,45,0,10,0,13,22,902,82,803,17,3
ARIZONA,Central Arizona College,Central Arizona College main,5849,2,0,0,0,0,2,13,7,4,2,0
ARIZONA,Northern Arizona University,Northern Arizona University main,29021,26,0,15,0,2,9,232,15,214,3,1
ARIZONA,Pima Community College,Pima Community College main,26880,2,0,1,0,1,0,87,9,75,3,0
ARIZONA,University of Arizona,University of Arizona main,42595,24,0,17,0,1,6,612,47,548,17,0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Beebe,3935,1,0,1,0,0,0,6,0,4,2,0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Jonesboro,13410,6,0,4,0,0,2,113,8,103,2,0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,12054,6,0,0,0,2,4,83,20,60,3,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Fayetteville,26754,9,0,3,0,1,5,233,16,185,32,1
ARKANSAS,University of Arkansas: ,University of Arkansas:  Little Rock,11891,1,0,0,0,0,1,82,2,76,4,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Medical Sciences,3021,4,0,0,0,0,4,85,2,77,6,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Pine Bluff,2658,1,0,0,0,1,0,56,5,51,0,1
ARKANSAS,University of Central Arkansas,University of Central Arkansas main,11754,4,0,3,0,0,1,112,9,99,4,0
CALIFORNIA,Allan Hancock College,Allan Hancock College main,10949,0,0,0,0,0,0,15,5,10,0,0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  Pomona,23717,7,0,4,0,2,1,175,20,142,13,0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  San Luis Obispo,20944,12,0,10,0,1,1,136,10,125,1,1
CALIFORNIA,California State University: ,California State University:  Bakersfield,9228,1,0,0,0,0,1,59,4,53,2,0
CALIFORNIA,California State University: ,California State University:  Channel Islands,6167,5,0,5,0,0,0,72,6,64,2,0
CALIFORNIA,California State University: ,California State University:  Chico,17220,8,0,6,0,1,1,256,12,233,11,0
CALIFORNIA,California State University: ,California State University:  Dominguez Hills,14635,4,0,0,0,1,3,45,6,34,5,0
CALIFORNIA,California State University: ,California State University:  East Bay,15528,3,0,2,0,1,0,75,11,62,2,0
CALIFORNIA,California State University: ,California State University:  Fresno,24136,15,0,5,0,5,5,337,62,245,30,1
CALIFORNIA,California State University: ,California State University:  Fullerton,38948,4,0,0,0,1,3,213,28,177,8,0
CALIFORNIA,California State University: ,California State University:  Long Beach,37446,9,0,3,0,2,4,193,8,165,20,1
CALIFORNIA,California State University: ,California State University:  Los Angeles,27680,8,0,4,0,0,4,145,9,124,12,0
CALIFORNIA,California State University: ,California State University:  Monterey Bay,7102,4,0,2,0,1,1,48,3,45,0,1
CALIFORNIA,California State University: ,California State University:  Northridge,41548,21,0,10,0,7,4,258,17,225,16,0
CALIFORNIA,California State University: ,California State University:  Sacramento,30284,4,0,1,0,2,1,198,10,181,7,0
