state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
ALABAMA,Jacksonville State University,Jacksonville State University main,8514,13,0,3,0,10,57,13,43,1,0
ALABAMA,Samford University,Samford University main,5471,3,0,1,0,2,105,21,84,0,0
ALABAMA,Troy University,Troy University main,17855,1,0,1,0,0,76,14,58,4,0
ALABAMA,University of Alabama: ,University of Alabama:  Birmingham,19535,28,0,1,5,22,456,8,429,19,0
ALABAMA,University of Alabama: ,University of Alabama:  Tuscaloosa,37663,34,1,6,4,23,291,42,245,4,0
ALABAMA,University of North Alabama,University of North Alabama main,7333,7,0,0,2,5,40,6,34,0,0
ALABAMA,University of South Alabama,University of South Alabama main,16443,22,0,0,0,22,168,14,148,6,0
ALASKA,University of Alaska: ,University of Alaska:  Anchorage,16318,2,0,0,1,1,76,3,65,8,0
ALASKA,University of Alaska: ,University of Alaska:  Fairbanks,8283,4,0,1,0,3,66,0,62,4,0
ARIZONA,Arizona State University,Arizona State University Main Campus,97849,32,0,15,2,15,866,81,764,21,2
ARIZONA,Central Arizona College,Central Arizona College main,5585,0,0,0,0,0,12,2,9,1,0
ARIZONA,Northern Arizona University,Northern Arizona University main,30361,24,0,12,1,11,267,18,249,0,0
ARIZONA,Pima Community College,Pima Community College main,24956,3,0,2,1,0,76,8,66,2,0
ARIZONA,University of Arizona,University of Arizona main,43161,22,0,9,4,9,617,64,536,17,1
ARKANSAS,Arkansas State University: ,Arkansas State University:  Beebe,3989,0,0,0,0,0,6,2,4,0,0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Jonesboro,14085,5,0,2,0,3,62,10,52,0,1
ARKANSAS,Arkansas State University: ,Arkansas State University:  Newport,2735,0,0,0,0,0,0,0,0,0,0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,11894,1,0,1,0,0,101,10,90,1,0
ARKANSAS,Henderson State University,Henderson State University main,3551,5,0,2,2,1,30,2,27,1,2
ARKANSAS,Southern Arkansas University,Southern Arkansas University main,4771,3,0,2,1,0,18,3,14,1,0
ARKANSAS,University of Arkansas Community College,University of Arkansas Community College Morrilton,2029,0,0,0,0,0,7,0,7,0,1
ARKANSAS,University of Arkansas: ,University of Arkansas:  Fayetteville,27194,9,0,2,2,5,226,13,170,43,2
ARKANSAS,University of Arkansas: ,University of Arkansas:  Little Rock,11746,3,0,0,1,2,80,5,74,1,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Medical Sciences,2869,9,0,0,1,8,95,0,88,7,0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Pine Bluff,2821,3,0,0,1,2,57,12,44,1,0
CALIFORNIA,Allan Hancock College,Allan Hancock College main,12012,0,0,0,0,0,6,1,5,0,0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  Pomona,25326,4,0,2,2,0,213,23,159,31,1
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  San Luis Obispo,21306,9,0,4,1,4,147,23,116,8,0
CALIFORNIA,California State University: ,California State University:  Bakersfield,9341,3,0,2,0,1,75,10,65,0,0
CALIFORNIA,California State University: ,California State University:  Channel Islands,6611,1,0,0,0,1,44,0,42,2,0
CALIFORNIA,California State University: ,California State University:  Chico,17557,13,0,8,1,4,207,13,184,10,0
CALIFORNIA,California State University: ,California State University:  Dominguez Hills,14731,7,0,1,3,3,40,5,34,1,0
CALIFORNIA,California State University: ,California State University:  East Bay,15855,6,0,3,2,1,122,49,73,0,0
CALIFORNIA,California State University: ,California State University:  Fresno,24405,14,0,3,2,9,255,48,195,12,2
CALIFORNIA,California State University: ,California State University:  Fullerton,40235,5,0,3,1,1,187,13,167,7,1
CALIFORNIA,California State University: ,California State University:  Long Beach,37776,9,0,5,2,2,169,7,141,21,0
CALIFORNIA,California State University: ,California State University:  Los Angeles,27827,3,0,1,1,1,120,6,102,12,0
CALIFORNIA,California State University: ,California State University:  Monterey Bay,7274,12,0,4,0,8,39,6,32,1,0
CALIFORNIA,California State University: ,California State University:  Northridge,39916,9,0,4,0,5,297,13,258,26,4
CALIFORNIA,California State University: ,California State University:  Sacramento,30510,2,0,1,1,0,200,26,171,3,2
CALIFORNIA,California State University: ,California State University:  San Bernardino,20767,6,0,1,3,2,120,15,81,24,1
CALIFORNIA,California State University: ,California State University:  San Jose,32154,33,0,11,7,15,307,28,269,10,7
CALIFORNIA,California State University: ,California State University:  San Marcos,13144,6,0,5,0,1,20,0,19,1,1
CALIFORNIA,California State University: ,California State University:  Stanislaus,9762,5,0,4,0,1,47,0,39,8,1
