state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
ALABAMA,Jacksonville State University,Jacksonville State University main,10166,3,0,0,3,45,9,36,0,0
ALABAMA,University of Alabama:,University of Alabama: Birmingham,23196,31,0,1,30,432,8,414,10,0
ALABAMA,University of Alabama:,University of Alabama: Huntsville,9897,13,0,0,9,59,10,49,0,0
ALABAMA,University of Alabama:,University of Alabama: Tuscaloosa,41834,21,0,4,9,243,38,203,2,0
ALABAMA,University of South Alabama,University of South Alabama main,18481,21,0,0,18,153,10,137,6,0
ALASKA,University of Alaska:,University of Alaska: Anchorage,25009,2,0,0,0,72,2,60,10,0
ALASKA,University of Alaska:,University of Alaska: Fairbanks,13263,5,0,0,2,41,1,40,0,0
ARIZONA,Arizona State University,Arizona State University Main Campus,118390,29,0,5,14,875,56,794,25,6
ARIZONA,Arizona Western College,Arizona Western College main,11653,0,0,0,0,28,0,28,0,0
ARIZONA,Central Arizona College,Central Arizona College main,9741,4,0,0,4,26,3,21,2,1
ARIZONA,Northern Arizona University,Northern Arizona University main,34554,10,0,2,2,265,28,236,1,0
ARIZONA,University of Arizona,University of Arizona main,47648,26,0,2,15,613,53,532,28,1
ARKANSAS,Arkansas State University:,Arkansas State University: Beebe,5491,2,0,0,0,10,0,9,1,0
ARKANSAS,Arkansas State University:,Arkansas State University: Jonesboro,19148,7,0,0,3,51,5,46,0,0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,13677,4,0,0,3,56,6,50,0,0
ARKANSAS,Henderson State University,Henderson State University main,4043,2,0,0,0,29,5,23,1,0
ARKANSAS,Southern Arkansas University,Southern Arkansas University main,5683,2,0,1,0,37,4,32,1,0
ARKANSAS,University of Arkansas:,University of Arkansas: Fayetteville,29958,19,1,2,13,170,17,92,61,1
ARKANSAS,University of Arkansas:,University of Arkansas: Little Rock,14292,4,0,0,3,73,3,66,4,0
ARKANSAS,University of Arkansas:,University of Arkansas: Medical Sciences,3147,4,0,0,4,107,4,99,4,0
ARKANSAS,University of Arkansas:,University of Arkansas: Monticello,4702,1,0,0,0,17,0,17,0,0
ARKANSAS,University of Arkansas Community College at Morrilton,University of Arkansas Community College at Morrilton main,2684,0,0,0,0,4,1,3,0,0
ARKANSAS,University of Central Arkansas,University of Central Arkansas main,13347,5,0,0,2,87,2,80,5,0
CALIFORNIA,Allan Hancock College,Allan Hancock College main,17716,0,0,0,0,27,3,24,0,0
CALIFORNIA,California State Polytechnic University:,California State Polytechnic University: Pomona,26669,7,1,2,2,183,13,154,16,0
CALIFORNIA,California State Polytechnic University:,California State Polytechnic University: San Luis Obispo,22168,4,0,0,3,164,16,143,5,2
CALIFORNIA,California State University:,California State University: Bakersfield,11152,1,0,0,1,62,6,53,3,0
CALIFORNIA,California State University:,California State University: Channel Islands,7161,4,0,0,2,40,1,39,0,0
CALIFORNIA,California State University:,California State University: Chico,19004,9,1,1,3,136,5,130,1,2
CALIFORNIA,California State University:,California State University: Dominguez Hills,15580,6,0,1,2,38,2,32,4,1
CALIFORNIA,California State University:,California State University: East Bay,17600,3,0,1,0,82,16,64,2,0
CALIFORNIA,California State University:,California State University: Fresno,26380,11,0,3,5,147,18,118,11,0
CALIFORNIA,California State University:,California State University: Fullerton,44790,6,0,0,2,191,7,175,9,1
CALIFORNIA,California State University:,California State University: Long Beach,40641,5,0,2,2,140,7,120,13,0
CALIFORNIA,California State University:,California State University: Los Angeles,29181,7,0,1,1,109,8,92,9,1
CALIFORNIA,California State University:,California State University: Monterey Bay,7801,9,0,0,5,34,4,29,1,0
CALIFORNIA,California State University:,California State University: Northridge,41909,11,0,1,5,221,4,212,5,0
CALIFORNIA,California State University:,California State University: Sacramento,33379,10,0,3,2,148,16,130,2,0
CALIFORNIA,California State University:,California State University: San Bernardino,21914,4,0,1,0,110,8,89,13,0
CALIFORNIA,California State University:,California State University: San Jose,34035,18,0,7,6,325,30,271,24,5
CALIFORNIA,California State University:,California State University: San Marcos,13615,2,0,1,0,30,2,27,1,0
CALIFORNIA,California State University:,California State University: Stanislaus,10627,2,0,0,0,35,0,34,1,0
CALIFORNIA,Chaffey College,Chaffey College main,28430,0,0,0,0,28,1,27,0,0
CALIFORNIA,College of the Sequoias,College of the Sequoias main,15236,1,0,0,0,64,10,51,3,11
CALIFORNIA,Contra Costa Community College,Contra Costa Community College main,52597,9,0,1,8,123,12,108,3,0
CALIFORNIA,Cuesta College,Cuesta College main,14878,1,0,0,1,11,3,8,0,0
CALIFORNIA,El Camino College,El Camino College main,33150,3,0,3,0,51,2,44,5,0
CALIFORNIA,Foothill-De Anza College,Foothill-De Anza College main,63210,1,0,1,0,14,1,13,0,0
CALIFORNIA,Humboldt State University,Humboldt State University main,9171,7,0,1,4,93,13,80,0,0
CALIFORNIA,Irvine Valley College,Irvine Valley College main,21294,0,0,0,0,17,0,17,0,0
CALIFORNIA,Marin Community College,Marin Community College main,7905,4,0,0,4,20,0,20,0,0
CALIFORNIA,Mt. San Jacinto College,Mt. San Jacinto College main,20697,1,0,1,0,25,7,17,1,0
CALIFORNIA,Pasadena Community College,Pasadena Community College main,38096,1,0,1,0,78,5,70,3,0
CALIFORNIA,Riverside Community College,Riverside Community College main,58507,0,0,0,0,37,1,31,5,0
CALIFORNIA,San Bernardino Community College,San Bernardino Community College main,26697,1,0,0,1,73,3,64,6,0
CALIFORNIA,San Diego State University,San Diego State University main,36908,17,0,5,6,457,36,415,6,0
CALIFORNIA,San Francisco State University,San Francisco State University main,33036,9,0,3,2,208,26,170,12,0
CALIFORNIA,San Jose/Evergreen Community College,San Jose/Evergreen Community College main,26585,1,0,0,1,60,13,45,2,0
CALIFORNIA,Sonoma County Junior College,Sonoma County Junior College main,30921,13,0,2,11,65,4,60,1,0
CALIFORNIA,Sonoma State University,Sonoma State University main,10041,5,1,0,0,69,12,57,0,0
CALIFORNIA,State Center Community College District,State Center Community College District main,60065,1,0,1,0,136,20,110,6,0
CALIFORNIA,University of California:,University of California: Berkeley,42684,37,0,10,16,779,40,702,37,1
CALIFORNIA,University of California:,University of California: Davis,38778,22,0,3,11,640,37,591,12,0
CALIFORNIA,University of California:,University of California: Irvine,34754,20,0,1,7,447,42,395,10,2
CALIFORNIA,University of California:,University of California: Los Angeles,46298,72,0,11,33,691,143,536,12,4
CALIFORNIA,University of California:,"University of California: Medical Center, Sacramento4",0,3,0,0,3,129,3,122,4,1
CALIFORNIA,University of California:,University of California: Merced,7703,2,0,0,2,57,4,51,2,2
CALIFORNIA,University of California:,University of California: Riverside,24371,14,0,2,8,258,16,221,21,0
