state,university/college,campus,student_enrollment,total_law_enforcement__employees,total_officers,total_civilians
ALABAMA,Alabama A&M University,Alabama A&M University main,6392,41,16,25
ALABAMA,Alabama State University,Alabama State University main,5916,30,24,6
ALABAMA,Auburn University,Auburn University Montgomery,5775,22,14,8
ALABAMA,Bevill State Community College,Bevill State Community College main,5505,4,2,2
ALABAMA,Bishop State Community College,Bishop State Community College main,4763,7,7,0
ALABAMA,Calhoun Community College,Calhoun Community College main,15185,12,11,1
ALABAMA,Coastal Alabama Community College,Coastal Alabama Community College main,7048,6,6,0
ALABAMA,Jacksonville State University,Jacksonville State University main,10166,35,30,5
ALABAMA,Jefferson State Community College,Jefferson State Community College main,13564,12,10,2
ALABAMA,Lawson State Community College,Lawson State Community College main,4588,8,8,0
ALABAMA,Samford University,Samford University main,5956,17,14,3
ALABAMA,Southern Union State Community College,Southern Union State Community College main,7071,4,4,0
ALABAMA,Troy University,Troy University main,22125,16,12,4
ALABAMA,Tuskegee University,Tuskegee University main,3219,26,11,15
ALABAMA,University of Alabama:,University of Alabama: Huntsville,9897,27,17,10
ALABAMA,University of Alabama:,University of Alabama: Tuscaloosa,41834,162,85,77
ALABAMA,University of Montevallo,University of Montevallo main,3063,20,10,10
ALABAMA,University of North Alabama,University of North Alabama main,8315,17,15,2
ALABAMA,University of South Alabama,University of South Alabama main,18481,32,25,7
ALABAMA,University of West Alabama,University of West Alabama main,6029,15,9,6
ALABAMA,Wallace Community College:,Wallace Community College: Dothan,6098,8,8,0
ALABAMA,Wallace Community College:,Wallace Community College: Selma,2765,8,8,0
ALABAMA,Wallace State Community College,Wallace State Community College main,7270,8,7,1
ALASKA,University of Alaska:,University of Alaska: Anchorage,25009,19,12,7
ALASKA,University of Alaska:,University of Alaska: Fairbanks,13263,11,8,3
ARIZONA,Arizona State University,Arizona State University Main Campus,118390,148,84,64
ARIZONA,Arizona Western College,Arizona Western College main,11653,13,8,5
ARIZONA,Central Arizona College,Central Arizona College main,9741,11,10,1
ARIZONA,Northern Arizona University,Northern Arizona University main,34554,37,22,15
ARIZONA,Pima Community College,Pima Community College main,34308,48,28,20
ARIZONA,University of Arizona,University of Arizona main,47648,114,59,55
ARIZONA,Yavapai College,Yavapai College main,10000,9,7,2
ARKANSAS,Arkansas State University:,Arkansas State University: Beebe,5491,6,5,1
ARKANSAS,Arkansas State University:,Arkansas State University: Jonesboro,19148,25,20,5
ARKANSAS,Arkansas State University:,Arkansas State University: Newport,4943,3,3,0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,13677,24,21,3
ARKANSAS,Henderson State University,Henderson State University main,4043,9,8,1
ARKANSAS,Northwest Arkansas Community College,Northwest Arkansas Community College main,11225,18,13,5
ARKANSAS,Southern Arkansas University,Southern Arkansas University main,5683,9,8,1
ARKANSAS,Southern Arkansas University Tech,Southern Arkansas University Tech main,2056,3,3,0
ARKANSAS,University of Arkansas:,University of Arkansas: Fayetteville,29958,54,34,20
ARKANSAS,University of Arkansas:,University of Arkansas: Little Rock,14292,35,24,11
ARKANSAS,University of Arkansas:,University of Arkansas: Medical Sciences,3147,62,36,26
ARKANSAS,University of Arkansas:,University of Arkansas: Monticello,4702,10,9,1
ARKANSAS,University of Arkansas:,University of Arkansas: Pine Bluff,3106,16,12,4
ARKANSAS,University of Arkansas Community College at Morrilton,University of Arkansas Community College at Morrilton main,2684,3,3,0
ARKANSAS,University of Central Arkansas,University of Central Arkansas main,13347,37,26,11
CALIFORNIA,Allan Hancock College,Allan Hancock College main,17716,7,3,4
CALIFORNIA,California State Polytechnic University:,California State Polytechnic University: Pomona,26669,50,19,31
